name,age,nationality,place_of_birth,position,shirt_no,foot,club,agent,league
Maximilian MittelstÃ¤dt,26,Germany,Berlin,Defender - Left-Back,17,left,Hertha BSC,Sports360 GmbH,Bundesliga
Marvin Plattenhardt,31,Germany,Filderstadt,Defender - Left-Back,21,left,Hertha BSC,Briem Soccer ...,Bundesliga
Lukas Ullrich,19,Germany,Berlin,Defender - Left-Back,26,left,Hertha BSC II,SEG,Other
Jonjoe Kenny,26,England,Liverpool,Defender - Right-Back,16,right,Hertha BSC,11WINS,Bundesliga
Peter Pekarik,36,Slovakia,Å½ilina,Defender - Right-Back,2,right,Hertha BSC,ROGON,Bundesliga
Julian Eitschberger,19,Germany,Hohen Neuendorf,Defender - Right-Back,42,right,Hertha BSC,B360 Sports,Bundesliga
Lucas Tousart,26,France,Arras,midfield - Defensive Midfield,29,right,Hertha BSC,Hexagon,Bundesliga
Ivan Sunjic,26,Croatia,Zenica,midfield - Defensive Midfield,34,right,Hertha BSC,Soccertalk GmbH,Bundesliga
Tolga Cigerci,31,TurkeyÂ Â Germany,Nordenham,midfield - Defensive Midfield,6,right,Hertha BSC,ROGON,Bundesliga
Suat Serdar,26,GermanyÂ Â Turkey,Bingen,midfield - Central Midfield,8,right,Hertha BSC,Sports360 GmbH,Bundesliga
Jean-Paul BoÃ«tius,29,NetherlandsÂ Â Suriname,Rotterdam,midfield - Attacking Midfield,10,right,Hertha BSC,CAA Stellar,Bundesliga
Kevin-Prince Boateng,36,GhanaÂ Â Germany,Berlin,midfield - Attacking Midfield,27,right,Hertha BSC,Excellence Sport,Bundesliga
Chidera Ejuke,25,Nigeria,Zaria,Attack - Left Winger,40,right,Hertha BSC,Aneke/PMG,Bundesliga
Dodi LukÃ©bakio,25,BelgiumÂ Â DR Congo,Brussels,Attack - Right Winger,14,left,Hertha BSC,BoostMySport,Bundesliga
Marco Richter,25,Germany,Friedberg,Attack - Right Winger,23,right,Hertha BSC,Sports360 GmbH,Bundesliga
Kelian Nsona,21,FranceÂ Â DR Congo,Ivry-sur-Seine,Attack - Right Winger,28,right,Hertha BSC,ROGON,Bundesliga
Jessic Ngankam,22,GermanyÂ Â Cameroon,Berlin,Attack - Centre-Forward,24,right,Hertha BSC,Sports360 GmbH,Bundesliga
Wilfried Kanga,25,Cote d'IvoireÂ Â France,Montreuil-sous-Bois,Attack - Centre-Forward,18,right,Hertha BSC,Lasana KOITA,Bundesliga
Florian Niederlechner,32,Germany,Ebersberg,Attack - Centre-Forward,7,right,Hertha BSC,Haspel ...,Bundesliga
Stevan Jovetic,33,MontenegroÂ Â Serbia,Titograd,Attack - Centre-Forward,19,right,Hertha BSC,LIAN Sports Group,Bundesliga
Derry Scherhant,20,Germany,Berlin,Attack - Centre-Forward,39,right,Hertha BSC,Sports eXcellence ...,Bundesliga
Ibrahim Maza,17,GermanyÂ Â Algeria,Berlin,Attack - Centre-Forward,10,right,Hertha BSC U19,Agent is known - Player under 18,Other
Jiri Pavlenka,31,Czech Republic,HluÄÃ­n,Goalkeeper,1,right,Werder Bremen,SPORT INVEST,Bundesliga
Michael Zetterer,27,Germany,MÃ¼nchen,Goalkeeper,30,both,Werder Bremen,EMG Mundial,Bundesliga
Mio Backhaus,19,Germany,MÃ¶nchengladbach,Goalkeeper,1,right,W. Bremen U19,feel soccer GmbH,Other
Dudu,24,GermanyÂ Â Brazil,Duisburg,Goalkeeper,38,right,Werder Bremen,DC International ...,Bundesliga
Louis Lord,19,Germany,Vechta,Goalkeeper,1,,W. Bremen II,CAA Stellar,Other
Marco Friedl,25,Austria,Kirchbichl,Defender - Centre-Back,32,left,Werder Bremen,YOU FIRST,Bundesliga
Amos Pieper,25,Germany,LÃ¼dinghausen,Defender - Centre-Back,5,right,Werder Bremen,Sports360 GmbH,Bundesliga
Niklas Stark,28,Germany,Neustadt an der Aisch,Defender - Centre-Back,4,right,Werder Bremen,Sports360 GmbH,Bundesliga
Milos Veljkovic,27,SerbiaÂ Â Switzerland,Basel,Defender - Centre-Back,13,right,Werder Bremen,LIAN Sports Group,Bundesliga
Fabio Chiarodia,17,ItalyÂ Â Germany,Oldenburg,Defender - Centre-Back,39,left,Werder Bremen,,Bundesliga
Lee Buchanan,22,England,Mansfield,Defender - Left-Back,26,left,Werder Bremen,Quantum Sport,Bundesliga
Anthony Jung,31,GermanyÂ Â Spain,Villajoyosa,Defender - Left-Back,3,left,Werder Bremen,CAA Stellar,Bundesliga
Mitchell Weiser,29,GermanyÂ Â Algeria,Troisdorf,Defender - Right-Back,8,right,Werder Bremen,ROOF,Bundesliga
Felix Agu,23,GermanyÂ Â Nigeria,OsnabrÃ¼ck,Defender - Right-Back,27,right,Werder Bremen,TDS SPORTS,Bundesliga
Ilia Gruev,23,BulgariaÂ Â Germany,Sofia,midfield - Defensive Midfield,28,left,Werder Bremen,feel soccer GmbH,Bundesliga
Christian GroÃŸ,34,Germany,Bremen,midfield - Defensive Midfield,36,both,Werder Bremen,DLT Sports Group,Bundesliga
Dikeni Salifou,19,TogoÂ Â Germany,MÃ¼nchen,midfield - Defensive Midfield,19,right,Werder Bremen,Karl M. Herzog ...,Bundesliga
Jens Stage,26,Denmark,HÃ¸jbjerg,midfield - Central Midfield,6,right,Werder Bremen,CMA Group,Bundesliga
Jean Manuel Mbom,23,GermanyÂ Â Cameroon,GÃ¶ttingen,midfield - Central Midfield,34,right,Werder Bremen,ROOF,Bundesliga
Romano Schmid,23,Austria,Graz,midfield - Attacking Midfield,20,right,Werder Bremen,YOU FIRST,Bundesliga
Leonardo Bittencourt,29,GermanyÂ Â Brazil,Leipzig,midfield - Attacking Midfield,10,right,Werder Bremen,feel soccer GmbH,Bundesliga
Niklas Schmidt,25,Germany,Kassel,midfield - Attacking Midfield,22,both,Werder Bremen,SEG,Bundesliga
Maximilian Philipp,29,Germany,Berlin,Attack - Second Striker,17,right,Werder Bremen,Unique Sports Group,Bundesliga
Niclas FÃ¼llkrug,30,Germany,Hannover,Attack - Centre-Forward,11,right,Werder Bremen,ROOF,Bundesliga
Marvin Ducksch,29,Germany,Dortmund,Attack - Centre-Forward,7,right,Werder Bremen,EMG Mundial,Bundesliga
Eren Dinkci,21,GermanyÂ Â Turkey,Bremen,Attack - Centre-Forward,21,right,Werder Bremen,EMG Mundial,Bundesliga
Alexander Schwolow,30,Germany,Wiesbaden,Goalkeeper,13,right,FC Schalke 04,feel soccer GmbH,Bundesliga
Ralf FÃ¤hrmann,34,Germany,Karl-Marx-Stadt,Goalkeeper,1,right,FC Schalke 04,Siebert & Backs,Bundesliga
Justin Heekeren,22,Germany,Veen,Goalkeeper,28,both,FC Schalke 04,ROYAL,Bundesliga
Michael Langer,38,Austria,Bregenz,Goalkeeper,34,right,FC Schalke 04,PESM,Bundesliga
Moritz Jenz,24,Germany,Berlin,Defender - Centre-Back,25,right,FC Schalke 04,Sports360 GmbH,Bundesliga
Sepp van den Berg,21,Netherlands,Zwolle,Defender - Centre-Back,5,right,FC Schalke 04,Key United,Bundesliga
Leo Greiml,21,Austria,Horn,Defender - Centre-Back,3,right,FC Schalke 04,YOU FIRST,Bundesliga
Maya Yoshida,34,Japan,"Nagasaki, Nagasaki",Defender - Centre-Back,4,right,FC Schalke 04,CAA Base Ltd,Bundesliga
Marcin Kaminski,31,Poland,Konin,Defender - Centre-Back,35,left,FC Schalke 04,Wojciech Zlobicki,Bundesliga
Henning Matriciani,23,Germany,Lippstadt,Defender - Centre-Back,41,right,FC Schalke 04,TPWE GmbH,Bundesliga
TimothÃ©e Kolodziejczak,31,FranceÂ Â Poland,Avion,Defender - Centre-Back,15,left,FC Schalke 04,,Bundesliga
Ibrahima CissÃ©,22,MaliÂ Â France,Dreux,Defender - Centre-Back,22,right,FC Schalke 04,,Bundesliga
Thomas Ouwejan,26,Netherlands,Alkmaar,Defender - Left-Back,2,left,FC Schalke 04,CAA Stellar,Bundesliga
Jere Uronen,28,Finland,Turku,Defender - Left-Back,18,left,FC Schalke 04,NGA Sport,Bundesliga
CÃ©dric Brunner,29,Switzerland,Zollikon,Defender - Right-Back,27,right,FC Schalke 04,ROOF,Bundesliga
Mehmet Aydin,21,TurkeyÂ Â Germany,WÃ¼rselen,Defender - Right-Back,23,right,FC Schalke 04,KIN Partners,Bundesliga
Alex Kral,24,Czech RepublicÂ Â Slovakia,KoÅ¡ice,midfield - Defensive Midfield,30,right,FC Schalke 04,K2K Sports ...,Bundesliga
Ã‰der Balanta,30,Colombia,BogotÃ¡,midfield - Defensive Midfield,33,left,FC Schalke 04,no agent,Bundesliga
Niklas Tauer,22,Germany,Mainz,midfield - Defensive Midfield,21,right,FC Schalke 04,PRO Profil GmbH,Bundesliga
Tom KrauÃŸ,21,Germany,Leipzig,midfield - Central Midfield,6,right,FC Schalke 04,ROOF,Bundesliga
Danny Latza,33,Germany,Gelsenkirchen,midfield - Central Midfield,8,right,FC Schalke 04,feel soccer GmbH,Bundesliga
Soichiro Kozuki,22,Japan,"Uji, Kyoto",midfield - Right Midfield,38,right,FC Schalke 04,PRO Profil GmbH,Bundesliga
Tobias Mohr,27,Germany,Aachen,midfield - Left Midfield,29,left,FC Schalke 04,KL Sportsbase,Bundesliga
Rodrigo Zalazar,23,UruguayÂ Â Spain,Albacete,midfield - Attacking Midfield,10,right,FC Schalke 04,CAA Stellar,Bundesliga
Dominick Drexler,32,Germany,Bonn,midfield - Attacking Midfield,24,right,FC Schalke 04,11WINS,Bundesliga
Marius BÃ¼lter,30,Germany,IbbenbÃ¼ren,Attack - Left Winger,11,right,FC Schalke 04,TPWE GmbH,Bundesliga
Tim Skarke,26,Germany,Heidenheim an der Brenz,Attack - Right Winger,20,right,FC Schalke 04,Unique Sports Group,Bundesliga
Michael Frey,28,Switzerland,MÃ¼nsingen,Attack - Centre-Forward,26,right,FC Schalke 04,Soccer Mondial AG,Bundesliga
Sebastian Polter,32,Germany,Wilhelmshaven,Attack - Centre-Forward,40,right,FC Schalke 04,PRO Profil GmbH,Bundesliga
Kenan Karaman,29,TurkeyÂ Â Germany,Stuttgart,Attack - Centre-Forward,19,right,FC Schalke 04,EMG Mundial,Bundesliga
Simon Terodde,35,Germany,Bocholt,Attack - Centre-Forward,9,right,FC Schalke 04,Sports360 GmbH,Bundesliga
Manuel Riemann,34,Germany,MÃ¼hldorf am Inn,Goalkeeper,1,right,VfL Bochum,ROOF,Bundesliga
Marko Johansson,24,SwedenÂ Â Serbia,MalmÃ¶,Goalkeeper,26,right,VfL Bochum,BMS Sportconsulting ...,Bundesliga
Michael Esser,35,Germany,Castrop-Rauxel,Goalkeeper,21,right,VfL Bochum,Robert Schneider,Bundesliga
Paul Grave,22,Germany,Borken,Goalkeeper,34,right,VfL Bochum,FG Sports GmbH,Bundesliga
Erhan Masovic,24,Serbia,Novi Pazar,Defender - Centre-Back,4,both,VfL Bochum,Relatives,Bundesliga
Ivan Ordets,30,Ukraine,"Blyzhnye, Donetsk Oblast",Defender - Centre-Back,20,right,VfL Bochum,Murza Eduard,Bundesliga
Keven Schlotterbeck,26,Germany,Weinstadt,Defender - Centre-Back,31,left,VfL Bochum,Robert Schneider,Bundesliga
Dominique Heintz,29,Germany,Neustadt an der WeinstraÃŸe,Defender - Centre-Back,30,left,VfL Bochum,Sports360 GmbH,Bundesliga
Vasilios Lampropoulos,33,Greece,Pyrgos,Defender - Centre-Back,24,right,VfL Bochum,WoS,Bundesliga
Mohammed Tolba,18,GermanyÂ Â Egypt,Essen,Defender - Centre-Back,25,right,VfL Bochum,Wasserman,Bundesliga
Danilo Soares,31,Brazil,Belo Horizonte,Defender - Left-Back,3,left,VfL Bochum,TDL Sports ...,Bundesliga
Konstantinos Stafylidis,29,Greece,Thessaloniki,Defender - Left-Back,16,left,VfL Bochum,ROGON,Bundesliga
Jordi Osei-Tutu,24,EnglandÂ Â Ghana,Slough,Defender - Right-Back,18,right,VfL Bochum,Unique Sports Group,Bundesliga
Saidy Janko,27,The GambiaÂ Â Switzerland,ZÃ¼rich,Defender - Right-Back,23,right,VfL Bochum,Signature - ISCM AG,Bundesliga
Cristian Gamboa,33,Costa Rica,Liberia,Defender - Right-Back,2,right,VfL Bochum,Wasserman,Bundesliga
Jacek Goralski,30,Poland,Bydgoszcz,midfield - Defensive Midfield,5,right,VfL Bochum,UNIDOS,Bundesliga
Anthony Losilla,37,France,Firminy,midfield - Defensive Midfield,8,right,VfL Bochum,Soccertalk GmbH,Bundesliga
Patrick Osterhage,23,Germany,GÃ¶ttingen,midfield - Central Midfield,6,left,VfL Bochum,H.S.P. ...,Bundesliga
Pierre Kunde,27,Cameroon,LimbÃ©,midfield - Central Midfield,28,right,VfL Bochum,IS SPORTS AGENCY ...,Bundesliga
Kevin StÃ¶ger,29,Austria,Steyr,midfield - Attacking Midfield,7,left,VfL Bochum,Relatives,Bundesliga
Philipp FÃ¶rster,28,Germany,Bretten,midfield - Attacking Midfield,10,left,VfL Bochum,ROOF,Bundesliga
Gerrit Holtmann,28,PhilippinesÂ Â Germany,Bremen,Attack - Left Winger,17,left,VfL Bochum,Relatives,Bundesliga
Christopher Antwi-Adjei,29,GhanaÂ Â Germany,Hagen,Attack - Left Winger,22,right,VfL Bochum,Kay Sports ...,Bundesliga
Takuma Asano,28,Japan,"Komono, Mie",Attack - Right Winger,11,right,VfL Bochum,JEB ENTERTAINMENT ...,Bundesliga
Philipp Hofmann,30,Germany,Arnsberg,Attack - Centre-Forward,33,left,VfL Bochum,ROOF,Bundesliga
Simon Zoller,31,Germany,Friedrichshafen,Attack - Centre-Forward,9,right,VfL Bochum,GoalSky,Bundesliga
SilvÃ¨re Ganvoula,26,Congo,Brazzaville,Attack - Centre-Forward,35,right,VfL Bochum,BY Sport Consulting,Bundesliga
Moritz Broschinski,22,Germany,Finsterwalde,Attack - Centre-Forward,29,right,VfL Bochum,Teamgeist ...,Bundesliga
Alex Meret,26,Italy,Udine,Goalkeeper,1,left,SSC Napoli,P&P Sport ...,Other
Pierluigi Gollini,28,Italy,Bologna,Goalkeeper,95,right,SSC Napoli,CAA Base Ltd,Other
Hubert Idasiak,21,Poland,SÅ‚awno,Goalkeeper,16,right,SSC Napoli,Group Athletic ...,Other
Davide Marfella,23,Italy,Pozzuoli,Goalkeeper,12,right,SSC Napoli,,Other
Min-jae Kim,26,"Korea, South","Tongyeong, Gyeongnam",Defender - Centre-Back,3,right,SSC Napoli,RX BROTHERS,Other
Amir Rrahmani,29,KosovoÂ Â Albania,PrishtinÃ«,Defender - Centre-Back,13,both,SSC Napoli,Soccer11,Other
Leo Ã–stigard,23,Norway,Ã…ndalsnes,Defender - Centre-Back,55,right,SSC Napoli,Solbakken / Player ...,Other
Juan Jesus,31,Brazil,Belo Horizonte,Defender - Centre-Back,5,left,SSC Napoli,Roberto Calenda,Other
MathÃ­as Olivera,25,UruguayÂ Â Spain,Montevideo,Defender - Left-Back,17,left,SSC Napoli,GBG Global Business ...,Other
MÃ¡rio Rui,31,Portugal,Sines,Defender - Left-Back,6,left,SSC Napoli,M.A.R.A.T. Football ...,Other
Giovanni Di Lorenzo,29,Italy,Castelnuovo di Garfagnana,Defender - Right-Back,22,right,SSC Napoli,M.A.R.A.T. Football ...,Other
Bartosz Bereszynski,30,Poland,PoznaÅ„,Defender - Right-Back,19,right,SSC Napoli,Fabryka Futbolu,Other
Stanislav Lobotka,28,Slovakia,TrenÄÃ­n,midfield - Defensive Midfield,68,both,SSC Napoli,FairSport,Other
Diego Demme,31,GermanyÂ Â Italy,Herford,midfield - Defensive Midfield,4,right,SSC Napoli,,Other
Piotr Zielinski,28,Poland,ZÄ…bkowice ÅšlÄ…skie,midfield - Central Midfield,20,both,SSC Napoli,BMG-SPORT,Other
Frank Anguissa,27,Cameroon,YaoundÃ©,midfield - Central Midfield,99,right,SSC Napoli,Maxime Nana,Other
Eljif Elmas,23,North Macedonia,Skopje,midfield - Central Midfield,7,right,SSC Napoli,Relatives,Other
Tanguy NdombÃ©lÃ©,26,FranceÂ Â DR Congo,Longjumeau,midfield - Central Midfield,91,right,SSC Napoli,,Other
Karim Zedadka,22,AlgeriaÂ Â France,Pertuis,midfield - Left Midfield,31,right,SSC Napoli,P&P Sport ...,Other
Gianluca Gaetano,23,Italy,Cimitile,midfield - Attacking Midfield,70,right,SSC Napoli,P&P Sport ...,Other
Khvicha Kvaratskhelia,22,Georgia,Tiflis,Attack - Left Winger,77,both,SSC Napoli,,Other
Alessio Zerbin,24,Italy,Novara,Attack - Left Winger,23,right,SSC Napoli,,Other
Hirving Lozano,27,Mexico,Mexico City,Attack - Right Winger,11,right,SSC Napoli,Unique Sports Group,Other
Matteo Politano,29,Italy,Roma,Attack - Right Winger,21,left,SSC Napoli,M.A.R.A.T. Football ...,Other
Giacomo Raspadori,23,Italy,Bentivoglio,Attack - Second Striker,81,both,SSC Napoli,TMP SOCCER srl,Other
Victor Osimhen,24,Nigeria,Lagos,Attack - Centre-Forward,9,right,SSC Napoli,Roberto Calenda,Other
Giovanni Simeone,27,ArgentinaÂ Â Spain,Buenos Aires,Attack - Centre-Forward,18,right,SSC Napoli,,Other
Mike Maignan,27,FranceÂ Â French Guiana,Cayenne,Goalkeeper,16,right,AC Milan,ESN,SerieA
Ciprian Tatarusanu,37,Romania,Bukarest,Goalkeeper,1,right,AC Milan,Pietro Chiodi ...,SerieA
Devis VÃ¡squez,25,Colombia,Barranquilla,Goalkeeper,77,right,AC Milan,VIDA 11,SerieA
Antonio Mirante,39,Italy,Castellammare di Stabia,Goalkeeper,83,right,AC Milan,GG11,SerieA
Fikayo Tomori,25,EnglandÂ Â Canada,"Calgary, Alberta",Defender - Centre-Back,23,right,AC Milan,SPORT INVEST,SerieA
Pierre Kalulu,22,FranceÂ Â DR Congo,Lyon,Defender - Centre-Back,20,right,AC Milan,CAA Stellar,SerieA
Malick Thiaw,21,GermanyÂ Â Finland,DÃ¼sseldorf,Defender - Centre-Back,28,right,AC Milan,Unique Sports Group,SerieA
Matteo Gabbia,23,Italy,Busto Arsizio,Defender - Centre-Back,46,right,AC Milan,TMP SOCCER srl,SerieA
Simon Kjaer,34,Denmark,Horsens,Defender - Centre-Back,24,right,AC Milan,Beckster Int.,SerieA
Theo HernÃ¡ndez,25,FranceÂ Â Spain,Marseille,Defender - Left-Back,19,left,AC Milan,Manuel GarcÃ­a ...,SerieA
FodÃ© Ballo-TourÃ©,26,SenegalÂ Â France,Conflans-Sainte-Honorine,Defender - Left-Back,5,left,AC Milan,BS Group - BS Law,SerieA
Davide Calabria,26,Italy,Brescia,Defender - Right-Back,2,right,AC Milan,YOU FIRST,SerieA
SergiÃ±o Dest,22,United StatesÂ Â Netherlands,Almere,Defender - Right-Back,21,right,AC Milan,CAA Stellar,SerieA
Alessandro Florenzi,32,Italy,Roma,Defender - Right-Back,25,right,AC Milan,World Soccer Agency,SerieA
Sandro Tonali,23,Italy,Lodi,midfield - Defensive Midfield,8,right,AC Milan,Gr Sports,SerieA
IsmaÃ«l Bennacer,25,AlgeriaÂ Â France,Arles,midfield - Defensive Midfield,4,left,AC Milan,Team Raiola,SerieA
TiemouÃ© Bakayoko,28,FranceÂ Â Cote d'Ivoire,Paris,midfield - Defensive Midfield,14,right,AC Milan,Niagara Sports ...,SerieA
Tommaso Pobega,23,Italy,Trieste,midfield - Central Midfield,32,both,AC Milan,Patrick Bastianelli,SerieA
Rade Krunic,29,Bosnia-Herzegovina,FoÄa,midfield - Central Midfield,33,right,AC Milan,Unnak Sports,SerieA
Aster Vranckx,20,BelgiumÂ Â DR Congo,Erps-Kwerps,midfield - Central Midfield,40,right,AC Milan,DW Sports Management,SerieA
Charles De Ketelaere,22,Belgium,Brugge,midfield - Attacking Midfield,90,left,AC Milan,A-GROUP,SerieA
Brahim DÃ­az,23,SpainÂ Â Morocco,MÃ¡laga,midfield - Attacking Midfield,10,both,AC Milan,Sports&Life,SerieA
Yacine Adli,22,FranceÂ Â Algeria,Vitry-sur-Seine,midfield - Attacking Midfield,7,right,AC Milan,,SerieA
Rafael LeÃ£o,23,PortugalÂ Â Angola,Almada,Attack - Left Winger,17,right,AC Milan,not clarified,SerieA
Ante Rebic,29,Croatia,Split,Attack - Left Winger,12,right,AC Milan,LIAN Sports Group,SerieA
Alexis Saelemaekers,23,Belgium,Berchem-Sainte-Agathe,Attack - Right Winger,56,right,AC Milan,Relatives,SerieA
Junior Messias,32,Brazil,Belo Horizonte,Attack - Right Winger,30,left,AC Milan,GG11,SerieA
Divock Origi,28,BelgiumÂ Â Kenya,Oostende,Attack - Centre-Forward,27,right,AC Milan,DLF,SerieA
Olivier Giroud,36,France,ChambÃ©ry,Attack - Centre-Forward,9,left,AC Milan,One Team Football,SerieA
Zlatan IbrahimoviÄ‡,41,SwedenÂ Â Bosnia-Herzegovina,MalmÃ¶,Attack - Centre-Forward,11,right,AC Milan,Team Raiola,SerieA
AndrÃ© Onana,27,Cameroon,Nkol Ngok,Goalkeeper,24,right,Inter,Goal Management,SerieA
Samir Handanovic,38,Slovenia,Ljubljana,Goalkeeper,1,right,Inter,LIAN Sports Group,SerieA
Alex Cordaz,40,Italy,Vittorio Veneto,Goalkeeper,21,right,Inter,QUAN SPORTS ...,SerieA
Milan Skriniar,28,Slovakia,Å½iar nad Hronom,Defender - Centre-Back,37,right,Inter,Relatives,SerieA
Alessandro Bastoni,24,Italy,Casalmaggiore,Defender - Centre-Back,95,left,Inter,TMP SOCCER srl,SerieA
Stefan de Vrij,31,Netherlands,Ouderkerk aan den IJssel,Defender - Centre-Back,6,right,Inter,P&P Sport ...,SerieA
Francesco Acerbi,35,Italy,Vizzolo Predabissi,Defender - Centre-Back,15,left,Inter,P&P Sport ...,SerieA
Danilo D'Ambrosio,34,Italy,Napoli,Defender - Centre-Back,33,right,Inter,G.E.V. ...,SerieA
Alessandro Fontanarosa,20,Italy,San Gennaro Vesuviano,Defender - Centre-Back,47,left,Inter,,SerieA
Federico Dimarco,25,Italy,Milano,Defender - Left-Back,32,left,Inter,,SerieA
Dalbert,29,Brazil,Barra Mansa,Defender - Left-Back,29,left,Inter,no agent,SerieA
Raoul Bellanova,22,Italy,Rho,Defender - Right-Back,12,right,Inter,CAA Base Ltd,SerieA
Matteo Darmian,33,Italy,Legnano,Defender - Right-Back,36,right,Inter,TMP SOCCER srl,SerieA
Mattia Zanotti,20,Italy,Brescia,Defender - Right-Back,46,right,Inter,RDF Football,SerieA
Marcelo Brozovic,30,Croatia,Zagreb,midfield - Defensive Midfield,77,both,Inter,Epic Team,SerieA
Kristjan Asllani,21,AlbaniaÂ Â Italy,Elbasan,midfield - Defensive Midfield,14,right,Inter,BE Sport Management,SerieA
NicolÃ² Barella,26,Italy,Cagliari,midfield - Central Midfield,23,right,Inter,,SerieA
Hakan Calhanoglu,29,TurkeyÂ Â Germany,Mannheim,midfield - Central Midfield,20,right,Inter,Unique Sports Group,SerieA
Roberto Gagliardini,29,Italy,Bergamo,midfield - Central Midfield,5,right,Inter,Gr Sports,SerieA
Denzel Dumfries,27,NetherlandsÂ Â Aruba,Rotterdam,midfield - Right Midfield,2,right,Inter,Wasserman,SerieA
Robin Gosens,28,GermanyÂ Â Netherlands,Emmerich,midfield - Left Midfield,8,left,Inter,MVP United,SerieA
Henrikh Mkhitaryan,34,Armenia,Yerevan,midfield - Attacking Midfield,22,both,Inter,Rafaela Pimenta,SerieA
ValentÃ­n Carboni,18,ArgentinaÂ Â Italy,Buenos Aires,midfield - Attacking Midfield,45,left,Inter,Gr Sports,SerieA
JoaquÃ­n Correa,28,ArgentinaÂ Â Italy,Juan Bautista Alberdi,Attack - Second Striker,11,right,Inter,World Soccer Agency,SerieA
Lautaro MartÃ­nez,25,Argentina,BahÃ­a Blanca,Attack - Centre-Forward,10,right,Inter,Footfeel ISM,SerieA
Romelu Lukaku,30,BelgiumÂ Â DR Congo,Antwerpen,Attack - Centre-Forward,90,left,Inter,TEAM LUKAKU,SerieA
Edin Dzeko,37,Bosnia-Herzegovina,Sarajevo,Attack - Centre-Forward,9,right,Inter,World Soccer Agency,SerieA
Wojciech Szczesny,33,Poland,Warszawa,Goalkeeper,1,right,Juventus,CAA Stellar,SerieA
Mattia Perin,30,Italy,Latina,Goalkeeper,36,right,Juventus,World Soccer Agency,SerieA
Carlo Pinsoglio,33,Italy,Moncalieri,Goalkeeper,23,left,Juventus,Starbridge Srl,SerieA
Bremer,26,Brazil,Itapitanga,Defender - Centre-Back,3,right,Juventus,CAA Base Ltd,SerieA
Federico Gatti,24,Italy,Rivoli,Defender - Centre-Back,15,right,Juventus,,SerieA
Leonardo Bonucci,36,Italy,Viterbo,Defender - Centre-Back,19,right,Juventus,World Soccer Agency,SerieA
Daniele Rugani,28,Italy,Lucca,Defender - Centre-Back,24,right,Juventus,Davide Torchia,SerieA
Alex Sandro,32,Brazil,Catanduva,Defender - Left-Back,12,left,Juventus,,SerieA
Danilo,31,Brazil,Bicas,Defender - Right-Back,6,right,Juventus,B2F,SerieA
Mattia De Sciglio,30,Italy,Milano,Defender - Right-Back,2,right,Juventus,Branchini Associati ...,SerieA
Manuel Locatelli,25,Italy,Lecco,midfield - Defensive Midfield,5,right,Juventus,Castelnovo,SerieA
Leandro Paredes,28,Argentina,San Justo,midfield - Defensive Midfield,32,right,Juventus,DCGLOBALSL,SerieA
Enzo Barrenechea,21,Argentina,Villa MarÃ­a,midfield - Defensive Midfield,45,right,Juventus,SP,SerieA
Adrien Rabiot,28,France,Saint-Maurice,midfield - Central Midfield,25,left,Juventus,Relatives,SerieA
Paul Pogba,30,FranceÂ Â Guinea,Lagny-sur-Marne,midfield - Central Midfield,10,both,Juventus,Rafaela Pimenta,SerieA
NicolÃ² Fagioli,22,Italy,Piacenza,midfield - Central Midfield,44,right,Juventus,PDP s.r.l.  ...,SerieA
